Date,F/R,S/R,City
2015-12-10,30,0,Shillong
2015-12-09,26,5,Shillong
2015-12-08,15,51,Shillong
2015-12-07,35,7,Shillong
2015-12-04,51,51,Shillong
2015-12-05,13,84,Shillong
2015-12-03,39,87,Shillong
2015-12-02,63,74,Shillong
2015-12-01,85,69,Shillong
2015-11-30,25,69,Shillong
2015-11-28,19,51,Shillong
2015-11-27,37,37,Shillong
2015-11-26,47,72,Shillong
2015-11-25,84,26,Shillong
2015-11-24,71,64,Shillong
2015-11-21,49,35,Shillong
2015-11-20,15,60,Shillong
2015-11-19,44,2,Shillong
2015-11-18,36,76,Shillong
2015-11-17,10,32,Shillong
2015-11-16,78,75,Shillong
2015-11-14,20,31,Shillong
2015-11-13,86,46,Shillong
2015-11-12,5,61,Shillong
2015-11-10,62,41,Shillong
2015-11-09,22,88,Shillong
2015-11-07,55,62,Shillong
2015-11-06,55,86,Shillong
2015-11-05,4,88,Shillong
2015-11-03,65,8,Shillong
2015-11-02,94,4,Shillong
2015-10-31,24,82,Shillong
2015-10-30,98,78,Shillong
2015-10-29,93,74,Shillong
2015-10-28,34,87,Shillong
2015-10-27,52,65,Shillong
2015-10-26,71,77,Shillong
2015-10-24,43,14,Shillong
2015-10-23,55,37,Shillong
2015-10-22,83,52,Shillong
2015-10-21,63,85,Shillong
2015-10-20,40,70,Shillong
2015-10-19,47,2,Shillong
2015-10-17,52,52,Shillong
2015-10-16,77,95,Shillong
2015-10-15,62,31,Shillong
2015-10-14,4,15,Shillong
2015-10-13,7,61,Shillong
2015-10-12,46,8,Shillong
2015-10-10,87,98,Shillong
2015-10-09,39,28,Shillong
2015-10-09,39,28,Shillong
